Unnamed: 0,mpid,pf_n,pf_p,formula,m_n,m_p,composition
7592,mp-767850,0.0809,0.191,LiFeSiO4,28.6,8.37,"(Li, Fe, Si, O)"
7593,mp-767861,0.0462,0.026,Li2Si2Ni2O7,42.5,50.8,"(Li, Si, Ni, O)"
7594,mp-767871,0.0376,0.0768,Li3MnPCO7,52.4,23.8,"(Li, Mn, P, C, O)"
7595,mp-767879,0.0095,0.115,Li3VPCO7,157.0,204.0,"(Li, V, P, C, O)"
7596,mp-767880,0.0111,0.4479999999999999,Li3MnPCO7,10400.0,37.4,"(Li, Mn, P, C, O)"
7597,mp-767884,0.0179,0.275,Li3MnPCO7,88.4,7.38,"(Li, Mn, P, C, O)"
7598,mp-767886,0.019,0.185,Li3MnPCO7,102.0,11.2,"(Li, Mn, P, C, O)"
7599,mp-767890,0.0442,0.099,Li3CrPCO7,75.2,20.7,"(Li, Cr, P, C, O)"
7600,mp-767892,0.0512,0.0577,Li3CrPCO7,31.3,43.7,"(Li, Cr, P, C, O)"
7601,mp-767903,0.00709,0.122,Li3VPCO7,914.0,640.0,"(Li, V, P, C, O)"
7602,mp-767913,0.607,0.129,BaV8O21,3920.0,84.1,"(Ba, V, O)"
7603,mp-767952,1.09,0.14,NaMnPCO7,742.0,78.1,"(Na, Mn, P, C, O)"
7604,mp-767953,0.0286,0.0446,Li2Si3NiO8,66.7,42.8,"(Li, Si, Ni, O)"
7605,mp-767958,1.09,0.138,NaMnPCO7,560.0,58.4,"(Na, Mn, P, C, O)"
7606,mp-767983,0.155,0.0869,LiV(CO3)2,124.0,31.7,"(Li, V, C, O)"
7607,mp-768000,0.0931,0.0594,Li2Cr(CO3)2,22.5,39.0,"(Li, Cr, C, O)"
7608,mp-768024,0.387,0.0821,V2P2O7,4.49,23.7,"(V, P, O)"
7609,mp-768042,0.0284,0.0822,Na2FePCO7,182.0,25.9,"(Na, Fe, P, C, O)"
7610,mp-768051,0.818,0.2739999999999999,Li3TiCo3O8,5.45,5.35,"(Li, Ti, Co, O)"
7611,mp-768061,1.09,0.134,NaMnPCO7,464.0,48.9,"(Na, Mn, P, C, O)"
7612,mp-768063,0.417,0.171,V2P2O7,4.21,19.1,"(V, P, O)"
7613,mp-768093,0.356,0.0634,VSO4F3,10300.0,121.0,"(V, S, O, F)"
7614,mp-768097,0.3829999999999999,0.14,V3H4NO8,111.0,19.1,"(V, H, N, O)"
7615,mp-768120,0.828,0.0374,Na2GaPCO7,0.653,34.0,"(Na, Ga, P, C, O)"
7616,mp-768141,0.846,0.0228,Na2DyPCO7,0.61,137.0,"(Na, Dy, P, C, O)"
7617,mp-768147,0.7,0.138,Dy(ClO4)3,2.07,24.3,"(Dy, Cl, O)"
7618,mp-768154,0.841,0.0386,Na3MgPCO7,0.601,17.3,"(Na, Mg, P, C, O)"
7619,mp-768159,0.755,0.0063,LiSnPCO7,0.98,145.0,"(Li, Sn, P, C, O)"
7620,mp-768166,0.3989999999999999,0.0783,Dy(ClO4)3,3.98,20.2,"(Dy, Cl, O)"
7621,mp-768175,1.08,0.551,Dy2SO2,0.6890000000000001,2.03,"(Dy, S, O)"
7622,mp-768176,0.642,0.361,TmTaO4,6.18,6.41,"(Tm, Ta, O)"
7623,mp-768195,0.8140000000000001,0.105,Li2ErPCO7,0.67,37.5,"(Li, Er, P, C, O)"
7624,mp-768197,1.41,1.39,Li5SbS4,1.2,203.0,"(Li, Sb, S)"
7625,mp-768199,0.711,0.505,Li3SbS3,2.01,2.84,"(Li, Sb, S)"
7626,mp-768200,0.82,0.105,Li2HoPCO7,0.6729999999999999,44.7,"(Li, Ho, P, C, O)"
7627,mp-768207,0.233,0.693,Li2SbPCO7,14.2,5.21,"(Li, Sb, P, C, O)"
7628,mp-768220,0.8079999999999999,0.113,Li2YPCO7,0.7120000000000001,40.7,"(Li, Y, P, C, O)"
7629,mp-768221,0.992,0.332,YBiO3,1.09,6.62,"(Y, Bi, O)"
7630,mp-768222,0.868,0.00789,BaY2F8,0.569,87.8,"(Ba, Y, F)"
7631,mp-768231,1.17,0.654,YHO2,0.871,3.74,"(Y, H, O)"
7632,mp-768234,0.7929999999999999,0.132,La2HfO5,0.6409999999999999,7.86,"(La, Hf, O)"
7633,mp-768237,0.0205,0.41,Gd2HfO5,123.0,4.87,"(Gd, Hf, O)"
7634,mp-768243,0.44,0.409,Tm2TiO5,126.0,4.3,"(Tm, Ti, O)"
7635,mp-768253,0.81,0.0232,Na5Bi2As(CO4)4,0.657,29.6,"(Na, Bi, As, C, O)"
7636,mp-768254,0.532,0.209,Gd3AsO7,0.975,3.16,"(Gd, As, O)"
7637,mp-768263,0.91,0.385,Ba2La2O5,0.54,1150.0,"(Ba, La, O)"
7638,mp-768268,0.206,0.129,Li14Co2S9,5.77,15.5,"(Li, Co, S)"
7639,mp-768280,0.236,0.188,Sm2B4O9,9.03,10.6,"(Sm, B, O)"
7640,mp-768281,0.949,0.0363,Ho2Ge2O7,0.435,63.5,"(Ho, Ge, O)"
7641,mp-768284,0.593,0.0971,Li3Sn(BO2)5,31.6,15.8,"(Li, Sn, B, O)"
7642,mp-768295,0.434,0.0433,Ba2YI7,9.05,24.8,"(Ba, Y, I)"
7643,mp-768310,0.935,0.462,LaBiO3,1.36,4.46,"(La, Bi, O)"
7644,mp-768315,0.6920000000000001,0.296,Mg(IO3)2,3.28,4.3,"(Mg, I, O)"
7645,mp-768326,0.508,3.04e-05,Na4Sn2C4SO16,1.67,41800.0,"(Na, Sn, C, S, O)"
7646,mp-768330,0.71,0.5539999999999999,Sn2P2O7,0.95,2.62,"(Sn, P, O)"
7647,mp-768341,0.337,0.135,Ba2YBr7,10.6,13.6,"(Ba, Y, Br)"
7648,mp-768342,1.05,1.57,SrNb2O4,1.13,0.738,"(Sr, Nb, O)"
7649,mp-768345,0.855,0.0495,Ba2B2O5,0.5710000000000001,10.4,"(Ba, B, O)"
7650,mp-768348,0.41,0.0641,Sm(ClO4)3,3.79,24.5,"(Sm, Cl, O)"
7651,mp-768355,0.759,0.0126,BaYF5,0.805,58.5,"(Ba, Y, F)"
7652,mp-768358,1.03,0.1639999999999999,ScInO3,0.303,5.48,"(Sc, In, O)"
7653,mp-768373,0.324,0.143,Ba2YBr7,5.37,11.9,"(Ba, Y, Br)"
7654,mp-768378,0.266,0.0174,Ba2YBr7,5.12,65.2,"(Ba, Y, Br)"
7655,mp-768382,0.563,0.092,La2Al4O9,1.19,9.55,"(La, Al, O)"
7656,mp-768385,0.325,0.0135,Ba2YBr7,36.7,105.0,"(Ba, Y, Br)"
7657,mp-7684,0.992,0.44,Tl3AsSe3,0.434,1.66,"(Tl, As, Se)"
7658,mp-768402,0.0792,0.573,Ba3Y2Br12,24.0,39.2,"(Ba, Y, Br)"
7659,mp-768417,0.816,0.0735,LaAlO3,0.628,20.3,"(La, Al, O)"
7660,mp-768419,0.0304,0.161,La(ClO4)3,79.2,27.4,"(La, Cl, O)"
7661,mp-768422,0.965,0.1159999999999999,TmHO2,0.436,15.1,"(Tm, H, O)"
7662,mp-768423,0.534,0.603,Li3VS4,1.73,1.44,"(Li, V, S)"
7663,mp-768440,0.226,0.485,Li3VS4,7.97,2.74,"(Li, V, S)"
7664,mp-768450,0.508,0.262,Tm3Sb5O12,2.8,5.43,"(Tm, Sb, O)"
7665,mp-768469,0.964,0.0967,TmGaO3,0.37,4.33,"(Tm, Ga, O)"
7666,mp-768482,0.743,0.223,Bi2(SO4)3,0.768,2.78,"(Bi, S, O)"
7667,mp-768500,0.785,0.522,Sb2(SO4)3,0.6679999999999999,1.01,"(Sb, S, O)"
7668,mp-768503,0.847,0.0537,Lu(PO3)3,0.547,27.0,"(Lu, P, O)"
7669,mp-768505,0.974,0.103,LuGaO3,0.361,3.88,"(Lu, Ga, O)"
7670,mp-768517,0.96,0.171,Tm2GeO5,0.426,7.25,"(Tm, Ge, O)"
7671,mp-768518,0.8809999999999999,0.122,LaAlO3,0.5429999999999999,23.3,"(La, Al, O)"
7672,mp-768519,0.84,0.2,Y2TeO6,0.588,65.0,"(Y, Te, O)"
7673,mp-768556,0.747,0.613,Na3BSbPO7,2.25,25.9,"(Na, B, Sb, P, O)"
7674,mp-768572,0.945,0.158,YAl3O6,0.444,5.03,"(Y, Al, O)"
7675,mp-768582,0.563,0.4429999999999999,Na3BiBPO7,38.2,5.43,"(Na, Bi, B, P, O)"
7676,mp-768585,0.795,0.273,HoTa3O9,1.31,10.7,"(Ho, Ta, O)"
7677,mp-768597,0.0164,0.369,SrLaCl5,1500.0,9.06,"(Sr, La, Cl)"
7678,mp-768604,0.0268,0.429,SrLaCl5,395.0,4.9,"(Sr, La, Cl)"
7679,mp-768615,0.00402,0.513,Sr3La2Cl12,720.0,4.4,"(Sr, La, Cl)"
7680,mp-768633,0.00335,0.249,Sr2LaCl7,725.0,11.1,"(Sr, La, Cl)"
7681,mp-768665,0.142,0.87,LiBiB2O5,17.9,23.9,"(Li, Bi, B, O)"
7682,mp-768670,0.85,0.0478,K3MgPCO7,0.601,58.1,"(K, Mg, P, C, O)"
7683,mp-768695,0.262,0.522,Ho2Ti2O7,46.2,2.97,"(Ho, Ti, O)"
7684,mp-768731,0.8270000000000001,1.14,Li2BiBO4,2.33,15.6,"(Li, Bi, B, O)"
7685,mp-768734,1.1,0.0621,Sr2CaI6,0.332,9.19,"(Sr, Ca, I)"
7686,mp-768736,0.8640000000000001,0.131,LiBiB2O5,2.32,9.8,"(Li, Bi, B, O)"
7687,mp-768740,0.913,0.148,Li2Bi5B3O13,4.35,11.0,"(Li, Bi, B, O)"
7688,mp-768747,0.672,0.0571,Li7Bi(BO4)2,6.84,28.1,"(Li, Bi, B, O)"
7689,mp-768756,0.187,0.259,Li2Bi(BO2)5,7.96,5.5,"(Li, Bi, B, O)"
7690,mp-768762,0.85,0.0298,Ho2TeO6,0.556,16.4,"(Ho, Te, O)"
7691,mp-768771,0.7859999999999999,0.166,Li3Bi(BO3)2,3.98,9.8,"(Li, Bi, B, O)"
7692,mp-768789,0.537,0.518,LiBiB2O5,2.73,2.77,"(Li, Bi, B, O)"
7693,mp-768794,0.469,0.639,LiBiB2O5,3.65,62.7,"(Li, Bi, B, O)"
7694,mp-768798,0.85,0.239,Li3Bi2(BO3)3,1.19,5.16,"(Li, Bi, B, O)"
7695,mp-7688,1.01,0.0992,Li2CdGeO4,0.369,9.04,"(Li, Cd, Ge, O)"
7696,mp-768809,0.616,0.48,Li3Bi(BO3)2,1.41,2.13,"(Li, Bi, B, O)"
7697,mp-768814,0.8909999999999999,0.132,Y2GeO5,0.48,44.4,"(Y, Ge, O)"
7698,mp-768820,0.718,0.293,Li3Bi(BO3)2,2.65,5.29,"(Li, Bi, B, O)"
7699,mp-768821,0.8009999999999999,0.119,Li2Bi2B2O7,1.27,13.3,"(Li, Bi, B, O)"
7700,mp-768827,0.7240000000000001,0.0703,BaSrI4,1.35,10.3,"(Ba, Sr, I)"
7701,mp-768867,0.879,0.954,Na2SnCSO7,80.0,90.6,"(Na, Sn, C, S, O)"
7702,mp-768871,0.645,0.3339999999999999,Bi6B10O21,115.0,159.0,"(Bi, B, O)"
7703,mp-768875,0.797,0.0144,Li6B4O9,0.7170000000000001,63.1,"(Li, B, O)"
7704,mp-768878,0.193,0.0867,ReCuO4,8.99,17.8,"(Re, Cu, O)"
7705,mp-768889,0.959,0.12,YHoO3,0.494,9.29,"(Y, Ho, O)"
7706,mp-768890,0.775,0.126,Li4B2O5,0.948,7.59,"(Li, B, O)"
7707,mp-768893,0.713,0.1689999999999999,Mg2(TeO3)3,1.28,4.66,"(Mg, Te, O)"
7708,mp-768906,1.17,0.342,YBrO,0.8320000000000001,2.17,"(Y, Br, O)"
7709,mp-768907,0.899,0.0865,Sr3TeO6,0.499,6.0,"(Sr, Te, O)"
7710,mp-768908,1.02,0.784,Ho2TeO2,0.402,1.19,"(Ho, Te, O)"
7711,mp-768909,0.66,0.0969,Sr(IO3)2,1.47,10.5,"(Sr, I, O)"
7712,mp-768915,0.182,0.294,Na3AuO3,24.8,9.65,"(Na, Au, O)"
7713,mp-768918,0.000106,0.0237,Ce(ClO4)4,30100.0,96.5,"(Ce, Cl, O)"
7714,mp-768920,0.674,0.1169999999999999,Ho2(SeO3)3,1.19,6.04,"(Ho, Se, O)"
7715,mp-768921,0.672,0.153,Li8B2O7,1.02,7.64,"(Li, B, O)"
7716,mp-768931,1.04,0.0137,Ga10Si2O19,0.317,402.0,"(Ga, Si, O)"
7717,mp-768936,0.292,0.132,Sn2(SO4)3,4.96,11.0,"(Sn, S, O)"
7718,mp-768939,0.239,0.0745,Sn2(SO4)3,7.22,26.3,"(Sn, S, O)"
7719,mp-768942,0.55,0.483,Ho2(SeO3)3,4.89,6.13,"(Ho, Se, O)"
7720,mp-768947,0.931,0.0731,Li10Zn3(GeO4)4,0.4629999999999999,56.2,"(Li, Zn, Ge, O)"
7721,mp-768958,0.43,0.113,Ba2Y5Cl19,3420.0,642.0,"(Ba, Y, Cl)"
7722,mp-768960,0.8240000000000001,0.1009999999999999,Li5BO4,0.763,11.7,"(Li, B, O)"
7723,mp-768974,0.615,0.179,BaY3Cl11,29.6,76.5,"(Ba, Y, Cl)"
7724,mp-768978,0.901,0.0631,Ho2(SO4)3,0.5479999999999999,7.86,"(Ho, S, O)"
7725,mp-768988,0.747,0.299,Li4Bi2O5,3.77,7.32,"(Li, Bi, O)"
7726,mp-768995,0.53,0.0933,Ba2Y5Cl19,55.4,82.6,"(Ba, Y, Cl)"
7727,mp-769014,0.48,0.255,Ho2(SeO3)3,2.37,4.49,"(Ho, Se, O)"
7728,mp-769015,0.965,0.0938,DyGaO3,0.386,5.12,"(Dy, Ga, O)"
7729,mp-769023,0.625,0.155,Ba2Y7Cl25,232.0,1060.0,"(Ba, Y, Cl)"
7730,mp-769038,0.408,0.351,Li3NbS4,3.18,3.93,"(Li, Nb, S)"
7731,mp-769039,0.79,0.0612,Dy2TeO6,0.693,8.79,"(Dy, Te, O)"
7732,mp-769045,0.965,0.0951,HoGaO3,0.38,4.76,"(Ho, Ga, O)"
7733,mp-769046,0.583,0.157,Si2Sn2O7,2.51,13.2,"(Si, Sn, O)"
7734,mp-769049,0.0113,0.395,BaLaCl5,340.0,6.11,"(Ba, La, Cl)"
7735,mp-769050,1.02,0.8079999999999999,Li2NbS3,0.4629999999999999,0.46,"(Li, Nb, S)"
7736,mp-769059,0.481,0.13,Li3NbS4,1.68,7.54,"(Li, Nb, S)"
7737,mp-769079,0.887,0.139,ScGaO3,0.473,3.69,"(Sc, Ga, O)"
7738,mp-769118,2.77,2.3,HoSO,8.21,2.71,"(Ho, S, O)"
7739,mp-769128,0.79,0.361,Dy2Sb2O7,0.985,2.39,"(Dy, Sb, O)"
7740,mp-769147,0.757,0.0602,Y2(SeO4)3,0.8029999999999999,10.7,"(Y, Se, O)"
7741,mp-769153,0.4629999999999999,0.203,Li2SbSO4F3,2.57,20.8,"(Li, Sb, S, O, F)"
7742,mp-769210,0.943,0.023,Tb2Pb2O7,0.3929999999999999,16.1,"(Tb, Pb, O)"
7743,mp-769222,1.04,0.1369999999999999,Dy2Pb2O7,0.292,2.22,"(Dy, Pb, O)"
7744,mp-769252,0.302,0.292,Sr3Ta2O8,5.02,105.0,"(Sr, Ta, O)"
7745,mp-769262,0.977,0.0112,K5YO4,0.4629999999999999,39.9,"(K, Y, O)"
7746,mp-769263,1.01,0.217,TbInO3,0.375,2.04,"(Tb, In, O)"
7747,mp-769266,0.1689999999999999,0.0952,Ca3Ta2O8,9.54,15.2,"(Ca, Ta, O)"
7748,mp-769271,0.5760000000000001,0.0771,Sr4Ta2O9,1.38,12.6,"(Sr, Ta, O)"
7749,mp-769280,0.821,0.384,Ca5Ta4O15,1.93,4.05,"(Ca, Ta, O)"
7750,mp-769283,0.809,0.0271,Sr4Ta2O9,0.68,22.8,"(Sr, Ta, O)"
7751,mp-769284,1.09,0.7659999999999999,Dy2SeO2,0.628,1.6,"(Dy, Se, O)"
7752,mp-769287,0.374,0.653,Li2TiS2O,6.03,2.26,"(Li, Ti, S, O)"
7753,mp-769289,0.921,0.126,Y2Hg2O5,0.4039999999999999,3.18,"(Y, Hg, O)"
7754,mp-769294,1.02,0.0113,Rb8SnO6,0.416,94.6,"(Rb, Sn, O)"
7755,mp-769296,0.887,0.0353,AgH9O5,0.535,248.0,"(Ag, H, O)"
7756,mp-769310,0.915,0.629,SiBi2O5,2.01,24.4,"(Si, Bi, O)"
7757,mp-769317,0.595,0.0594,Ca4Ta2O9,1.48,16.8,"(Ca, Ta, O)"
7758,mp-769319,0.3779999999999999,0.292,LiNb(OF)2,20.0,24.8,"(Li, Nb, O, F)"
7759,mp-769321,1.02,0.192,ZnSeO4,0.351,2.01,"(Zn, Se, O)"
7760,mp-769344,0.8640000000000001,0.145,Ba4Ta2O9,0.93,8.08,"(Ba, Ta, O)"
7761,mp-769347,0.732,0.217,MgSO3,1.78,5.53,"(Mg, S, O)"
7763,mp-769349,1.19,0.288,BaTa6O16,2.06,5.95,"(Ba, Ta, O)"
7764,mp-769368,1.02,0.421,Rb4SnO3,0.922,3.54,"(Rb, Sn, O)"
7765,mp-769380,0.0292,0.5660000000000001,Li2TiSn3(PO4)6,162.0,8.43,"(Li, Ti, Sn, P, O)"
7766,mp-769381,0.887,0.0826,Ca3Ta2O8,0.54,7.03,"(Ca, Ta, O)"
7767,mp-769383,0.445,0.236,RbB3Te2O9,3.24,6.67,"(Rb, B, Te, O)"
7768,mp-769384,0.0275,0.418,Li3NbOF6,84.3,46.3,"(Li, Nb, O, F)"
7769,mp-769390,0.272,0.39,Ca3Ta2O8,6.84,43.2,"(Ca, Ta, O)"
7770,mp-769394,0.994,0.0402,Ba4Ta2O9,0.947,38.5,"(Ba, Ta, O)"
7771,mp-769397,0.203,0.172,MgSO3,15.9,10.6,"(Mg, S, O)"
7772,mp-769404,0.7440000000000001,0.216,YSeO3,57.1,16.5,"(Y, Se, O)"
7773,mp-769411,0.3279999999999999,0.283,Li6B3SbO9,3.88,8.41,"(Li, B, Sb, O)"
7774,mp-769466,0.927,0.0963,Y2Ge2O7,0.478,8.57,"(Y, Ge, O)"
7775,mp-769484,1.02,0.115,NaMnPCO7,665.0,39.1,"(Na, Mn, P, C, O)"
7776,mp-769500,1.01,0.161,NaMnPCO7,455.0,18.7,"(Na, Mn, P, C, O)"
7777,mp-769511,0.1119999999999999,0.2319999999999999,NaLiV2O6,21.8,45.4,"(Na, Li, V, O)"
7778,mp-769517,1.13,0.018,NaMnPCO7,281.0,98.3,"(Na, Mn, P, C, O)"
7779,mp-769539,0.0672,0.103,Li7VGeO8,87.2,19.6,"(Li, V, Ge, O)"
7780,mp-769549,0.2789999999999999,0.0432,LiZnCr3(SO4)6,6.27,40.5,"(Li, Zn, Cr, S, O)"
7781,mp-769582,0.643,0.0908,Sr5Ta4O15,4.94,9.32,"(Sr, Ta, O)"
7782,mp-769597,0.288,0.242,Li2CoGe3O8,4.43,5.26,"(Li, Co, Ge, O)"
7783,mp-769604,0.0286,0.768,K2MnPCO7,320.0,3100.0,"(K, Mn, P, C, O)"
7784,mp-769630,0.6809999999999999,0.0357,Li2Mn3F8,0.542,18.7,"(Li, Mn, F)"
7785,mp-769633,2.54,2.95,NaFePCO7,9.75,9.67,"(Na, Fe, P, C, O)"
7786,mp-769647,0.401,0.253,VOF,5.74,21.7,"(V, O, F)"
7787,mp-769655,0.113,0.114,Mg2CoO4,0.0442,0.044,"(Mg, Co, O)"
7788,mp-769680,0.456,0.184,HfCrO3,0.657,2.6,"(Hf, Cr, O)"
7789,mp-769683,1.07,1.06,LiFeBO3,0.0763,0.0767,"(Li, Fe, B, O)"
7790,mp-769693,0.051,0.0289,Li2FePCO7,393.0,82.9,"(Li, Fe, P, C, O)"
7791,mp-769696,0.122,0.44,Li2FeBO4,12.7,3.55,"(Li, Fe, B, O)"
7792,mp-769698,0.467,0.425,Li2FeBO4,2.08,1.76,"(Li, Fe, B, O)"
7793,mp-769715,0.125,0.0867,LiVBO4,17.1,967.0,"(Li, V, B, O)"
7794,mp-769716,1.04,0.146,LiMnPCO7,47.4,113.0,"(Li, Mn, P, C, O)"
7795,mp-769739,0.721,0.19,Li4NbCr(WO6)2,1.52,27.0,"(Li, Nb, Cr, W, O)"
7796,mp-769762,0.34,0.105,Li2AlNiO4,6.32,12.4,"(Li, Al, Ni, O)"
7797,mp-769773,0.332,0.37,Li3CrClO4,21.7,4.6,"(Li, Cr, Cl, O)"
7798,mp-769775,0.109,0.153,Li2Cr2O7,23.2,55.4,"(Li, Cr, O)"
7799,mp-769778,1.05,0.26,Ca2In2O5,0.379,103.0,"(Ca, In, O)"
7800,mp-769793,0.168,0.059,Rb4FeO4,10.3,31.4,"(Rb, Fe, O)"
7801,mp-769818,0.441,0.457,HoCrO3,6.5,3.85,"(Ho, Cr, O)"
7802,mp-769839,0.591,0.161,MnP2O7,2.37,4.53,"(Mn, P, O)"
7803,mp-769844,0.795,0.243,La3Ti3CrO12,1.51,1020.0,"(La, Ti, Cr, O)"
7804,mp-769845,0.845,0.176,LiLa4MnO8,0.624,6.76,"(Li, La, Mn, O)"
7805,mp-769854,0.261,0.052,Li2VSn(PO4)2,5.78,62.0,"(Li, V, Sn, P, O)"
7806,mp-769880,0.0255,0.0453,LiVOF3,89.8,145.0,"(Li, V, O, F)"
7807,mp-769887,0.994,0.355,NbVO5,10.0,2.77,"(Nb, V, O)"
7808,mp-769915,0.852,0.0204,La4Ga2O9,0.5529999999999999,25.2,"(La, Ga, O)"
7809,mp-769920,0.45,0.4920000000000001,TbCrO3,6.57,3.7,"(Tb, Cr, O)"
7810,mp-769939,0.15,0.154,LiMnBO3,14.2,32.6,"(Li, Mn, B, O)"
7811,mp-769942,0.636,0.0759,LiMnBO3,0.645,21.0,"(Li, Mn, B, O)"
7812,mp-769963,0.355,0.376,Li2VFeO5,374.0,6.57,"(Li, V, Fe, O)"
7813,mp-769976,0.0467,0.1669999999999999,Li2FePCO7,48.3,20.8,"(Li, Fe, P, C, O)"
7814,mp-769980,0.5720000000000001,0.11,Li4AlCr3O8,2.19,14.1,"(Li, Al, Cr, O)"
7815,mp-769985,0.215,0.0893,LiCrB2O5,8.3,20.5,"(Li, Cr, B, O)"
7816,mp-769995,0.3979999999999999,0.1119999999999999,VSO4,3.39,15.2,"(V, S, O)"
7817,mp-77,0.184,0.302,S,9.81,9.94,(S)
7818,mp-770025,1.02,0.0298,Na2MnBPO7,92.9,55.6,"(Na, Mn, B, P, O)"
7819,mp-770026,0.102,0.632,Na5LiMn2P2(CO7)2,171.0,116.0,"(Na, Li, Mn, P, C, O)"
7820,mp-770033,0.62,0.1369999999999999,K3NiPCO7,70.8,567.0,"(K, Ni, P, C, O)"
7821,mp-770034,0.833,0.18,Li3CrBPO7,48.5,12.4,"(Li, Cr, B, P, O)"
7822,mp-770066,0.612,0.452,Na3NiBPO7,39.0,37.4,"(Na, Ni, B, P, O)"
7823,mp-770070,0.4320000000000001,0.122,Li3TiCr3O8,1.77,5.55,"(Li, Ti, Cr, O)"
7824,mp-770071,0.701,0.759,LiAl2FeO6,4.39,1.96,"(Li, Al, Fe, O)"
7825,mp-770091,0.529,0.0411,Li4AlCr3O8,2.22,26.3,"(Li, Al, Cr, O)"
7826,mp-770100,0.496,0.422,Mn2(SO4)3,4.71,3.31,"(Mn, S, O)"
7827,mp-770105,0.1939999999999999,0.0977,Li5MnO4,9.62,6.83,"(Li, Mn, O)"
7828,mp-770128,0.877,0.0849,Cs6Ti2O7,0.488,6.66,"(Cs, Ti, O)"
7829,mp-770163,0.14,0.125,Cr2(SO4)3,19.7,13.2,"(Cr, S, O)"
7830,mp-770165,0.0429,0.236,Li2FePCO7,197.0,54.5,"(Li, Fe, P, C, O)"
7831,mp-770167,0.0451,0.253,Li2FePCO7,48.8,40.4,"(Li, Fe, P, C, O)"
7832,mp-770213,0.042,0.0229,Li3Ti(BO3)2,162.0,140.0,"(Li, Ti, B, O)"
7833,mp-770225,0.942,0.0862,LiMnPCO7,724.0,40.5,"(Li, Mn, P, C, O)"
7834,mp-770228,0.021,0.317,Li2FePCO7,93.1,89.0,"(Li, Fe, P, C, O)"
7835,mp-770234,0.305,0.109,Li4Cr3CoO8,46.3,13.0,"(Li, Cr, Co, O)"
7836,mp-770237,1.02,0.141,LiMnPCO7,157.0,28.6,"(Li, Mn, P, C, O)"
7837,mp-770240,0.522,0.0948,Li4AlCr3O8,3.79,11.8,"(Li, Al, Cr, O)"
7838,mp-770253,0.602,0.154,Li4Cr3GaO8,2.04,8.78,"(Li, Cr, Ga, O)"
7839,mp-770261,0.29,0.583,Mn2P2O7,4.86,3.67,"(Mn, P, O)"
7840,mp-770271,0.0205,0.198,BaLaCl5,1200.0,17.8,"(Ba, La, Cl)"
7841,mp-770277,0.495,0.0807,Li4Cr3GaO8,2.43,13.5,"(Li, Cr, Ga, O)"
7842,mp-770286,0.265,0.39,Li3Sn(BO3)2,16.4,12.9,"(Li, Sn, B, O)"
7843,mp-770290,0.768,0.447,Li3B2SbO6,3.01,4.28,"(Li, B, Sb, O)"
7844,mp-770296,0.831,0.778,La4Zn3O9,1.38,53200.0,"(La, Zn, O)"
7845,mp-770311,0.555,0.0521,Li4AlCr3O8,2.29,25.1,"(Li, Al, Cr, O)"
7846,mp-770324,0.574,0.0877,Na5LiNi2P2(CO7)2,132.0,114.0,"(Na, Li, Ni, P, C, O)"
7847,mp-770333,0.456,0.0597,Li2VBO4,2.43,14.3,"(Li, V, B, O)"
7848,mp-770340,0.361,0.182,Li4Cr3CoO8,9.32,9.47,"(Li, Cr, Co, O)"
7849,mp-770341,0.602,0.1939999999999999,Li4AlCr3O8,1.93,5.66,"(Li, Al, Cr, O)"
7850,mp-770342,0.421,0.0351,Tb2(WO4)3,2.93,71.4,"(Tb, W, O)"
7851,mp-770343,0.208,0.141,Li3V(BO3)2,23.2,46.1,"(Li, V, B, O)"
7852,mp-770344,0.181,0.0055899999999999,Li3V(BO2)5,12.2,184.0,"(Li, V, B, O)"
7853,mp-770349,0.16,0.31,LiVSiCO7,11.1,5.87,"(Li, V, Si, C, O)"
7854,mp-770351,0.382,0.1969999999999999,Tb2(WO4)3,3.1,6.92,"(Tb, W, O)"
7855,mp-770359,0.913,0.159,TaAsO4,0.925,16.2,"(Ta, As, O)"
7856,mp-770362,0.0849,0.0773,Li3Al2VO6,19.5,69.2,"(Li, Al, V, O)"
7857,mp-770380,0.8140000000000001,0.321,Ta3InO9,1.49,4.61,"(Ta, In, O)"
7858,mp-770386,0.4639999999999999,0.19,LiMnAlO4,23.7,5.57,"(Li, Mn, Al, O)"
7859,mp-770400,0.318,0.0925,Li2AlNiO4,3.64,10.7,"(Li, Al, Ni, O)"
7860,mp-770406,0.1639999999999999,0.0981,Sm2WO6,20.1,17.4,"(Sm, W, O)"
7861,mp-770408,0.8640000000000001,0.0486,Rb6Ti2O7,0.509,14.9,"(Rb, Ti, O)"
7862,mp-770409,0.962,0.0934,Tm2GeO5,0.43,31.6,"(Tm, Ge, O)"
7863,mp-770413,0.7340000000000001,0.2239999999999999,LaHoO3,0.8690000000000001,2.71,"(La, Ho, O)"
7864,mp-770416,0.584,0.657,Dy2WO6,6.13,3.76,"(Dy, W, O)"
7865,mp-770427,0.00357,0.425,BaLaCl5,1420.0,13.8,"(Ba, La, Cl)"
7866,mp-770446,0.959,0.0146,Mg3(AsO4)2,0.423,30.2,"(Mg, As, O)"
7867,mp-770454,0.326,0.445,La2Ti3O9,335.0,28.2,"(La, Ti, O)"
7868,mp-770464,0.879,0.104,LaBiO4,0.519,8.04,"(La, Bi, O)"
7869,mp-770469,0.77,0.155,Li5TaO5,0.769,28.8,"(Li, Ta, O)"
